央视,#genre#
CCTV17,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226630/index.m3u8?servicetype=1
CCTV17,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227188/index.m3u8?servicetype=1
CETV1,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227190/index.m3u8?servicetype=1
CETV1,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226471/index.m3u8?servicetype=1
CETV1,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226592/index.m3u8?servicetype=1
CETV2,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227194/index.m3u8?servicetype=1
CETV4,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227200/index.m3u8?servicetype=1

卫视,#genre#
山东卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226456/index.m3u8?servicetype=1
山东卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226564/index.m3u8?servicetype=1
山东卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227234/index.m3u8?servicetype=1
北京卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227179/index.m3u8?servicetype=1
北京卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227232/index.m3u8?servicetype=1
北京卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226452/index.m3u8?servicetype=1
北京卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226519/index.m3u8?servicetype=1
东方卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226450/index.m3u8?servicetype=1
东方卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226681/index.m3u8?servicetype=1
东方卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227199/index.m3u8?servicetype=1
辽宁卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226457/index.m3u8?servicetype=1
辽宁卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226586/index.m3u8?servicetype=1
辽宁卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227236/index.m3u8?servicetype=1
湖南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226431/index.m3u8?servicetype=1
湖南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226659/index.m3u8?servicetype=1
湖南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227205/index.m3u8?servicetype=1
天津卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226422/index.m3u8?servicetype=1
天津卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226621/index.m3u8?servicetype=1
天津卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227209/index.m3u8?servicetype=1
江苏卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226451/index.m3u8?servicetype=1
江苏卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226722/index.m3u8?servicetype=1
江苏卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227228/index.m3u8?servicetype=1
浙江卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226448/index.m3u8?servicetype=1
浙江卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226682/index.m3u8?servicetype=1
浙江卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227202/index.m3u8?servicetype=1
东南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226423/index.m3u8?servicetype=1
东南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226720/index.m3u8?servicetype=1
东南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227195/index.m3u8?servicetype=1
广东卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226454/index.m3u8?servicetype=1
广东卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226525/index.m3u8?servicetype=1
广东卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227201/index.m3u8?servicetype=1
深圳卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226426/index.m3u8?servicetype=1
深圳卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226700/index.m3u8?servicetype=1
深圳卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227203/index.m3u8?servicetype=1
河北卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226462/index.m3u8?servicetype=1
河北卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226611/index.m3u8?servicetype=1
河北卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
河南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226463/index.m3u8?servicetype=1
河南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226639/index.m3u8?servicetype=1
河南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1
安徽卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226455/index.m3u8?servicetype=1
安徽卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226578/index.m3u8?servicetype=1
安徽卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227230/index.m3u8?servicetype=1
四川卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226429/index.m3u8?servicetype=1
四川卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226573/index.m3u8?servicetype=1
四川卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227197/index.m3u8?servicetype=1
重庆卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226420/index.m3u8?servicetype=1
重庆卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226676/index.m3u8?servicetype=1
重庆卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227220/index.m3u8?servicetype=1
贵州卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226460/index.m3u8?servicetype=1
贵州卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226632/index.m3u8?servicetype=1
贵州卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227224/index.m3u8?servicetype=1
云南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226427/index.m3u8?servicetype=1
云南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226660/index.m3u8?servicetype=1
云南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227211/index.m3u8?servicetype=1
湖北卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226424/index.m3u8?servicetype=1
湖北卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226579/index.m3u8?servicetype=1
湖北卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227238/index.m3u8?servicetype=1
江西卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226428/index.m3u8?servicetype=1
江西卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226594/index.m3u8?servicetype=1
江西卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
黑龙江卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226453/index.m3u8?servicetype=1
黑龙江卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226533/index.m3u8?servicetype=1
黑龙江卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227207/index.m3u8?servicetype=1
吉林卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226425/index.m3u8?servicetype=1
吉林卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226684/index.m3u8?servicetype=1
吉林卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227240/index.m3u8?servicetype=1
广西卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227242/index.m3u8?servicetype=1
广西卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226416/index.m3u8?servicetype=1
广西卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226540/index.m3u8?servicetype=1
海南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226417/index.m3u8?servicetype=1
海南卫视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226562/index.m3u8?servicetype=1
河南卫视4K,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226344/index.m3u8?servicetype=1
