酒店测试,#genre#
广东卫视,http://120.84.96.121:808/hls/121/index.m3u8
广东卫视,http://120.84.96.103:808/hls/121/index.m3u8
广东卫视,http://120.84.96.109:808/hls/121/index.m3u8
广东珠江,http://120.84.96.109:808/hls/122/index.m3u8
广东珠江,http://120.84.96.103:808/hls/122/index.m3u8
广东珠江,http://120.84.96.121:808/hls/122/index.m3u8
广东影视,http://120.84.96.121:808/hls/142/index.m3u8
广东影视,http://120.84.96.103:808/hls/142/index.m3u8
广东影视,http://120.84.96.109:808/hls/142/index.m3u8
领南戏曲,http://120.84.96.109:808/hls/143/index.m3u8
领南戏曲,http://120.84.96.103:808/hls/143/index.m3u8
领南戏曲,http://120.84.96.121:808/hls/143/index.m3u8
广东民生,http://120.84.96.121:808/hls/148/index.m3u8
广东民生,http://120.84.96.103:808/hls/148/index.m3u8
广东民生,http://120.84.96.109:808/hls/148/index.m3u8
龙祥时代,http://120.84.96.109:808/hls/35/index.m3u8
龙祥时代,http://120.84.96.103:808/hls/35/index.m3u8
龙祥时代,http://120.84.96.121:808/hls/35/index.m3u8
24[1920x1080],http://120.84.96.121:808/hls/24/index.m3u8
24[1920x1080],http://120.84.96.103:808/hls/24/index.m3u8
24[1920x1080],http://120.84.96.109:808/hls/24/index.m3u8
84[1920x1080],http://120.84.96.109:808/hls/84/index.m3u8
84[1920x1080],http://120.84.96.103:808/hls/84/index.m3u8
84[1920x1080],http://120.84.96.121:808/hls/84/index.m3u8
CCM,http://120.84.96.121:808/hls/85/index.m3u8
CCM,http://120.84.96.103:808/hls/85/index.m3u8
CCM,http://120.84.96.109:808/hls/85/index.m3u8
深圳卫视,http://120.84.96.109:808/hls/125/index.m3u8
深圳卫视,http://120.84.96.103:808/hls/125/index.m3u8
深圳卫视,http://120.84.96.121:808/hls/125/index.m3u8
大湾区卫视,http://120.84.96.121:808/hls/119/index.m3u8
大湾区卫视,http://120.84.96.103:808/hls/119/index.m3u8
大湾区卫视,http://120.84.96.109:808/hls/119/index.m3u8
经济科教,http://120.84.96.109:808/hls/118/index.m3u8
经济科教,http://120.84.96.103:808/hls/118/index.m3u8
经济科教,http://120.84.96.121:808/hls/118/index.m3u8
湖南,http://120.84.96.121:808/hls/126/index.m3u8
湖南,http://120.84.96.103:808/hls/126/index.m3u8
湖南,http://120.84.96.109:808/hls/126/index.m3u8
贵州卫视,http://120.84.96.109:808/hls/127/index.m3u8
贵州卫视,http://120.84.96.103:808/hls/127/index.m3u8
贵州卫视,http://120.84.96.121:808/hls/127/index.m3u8
浙江卫视,http://120.84.96.121:808/hls/129/index.m3u8
浙江卫视,http://120.84.96.103:808/hls/129/index.m3u8
浙江卫视,http://120.84.96.109:808/hls/129/index.m3u8
江苏卫视,http://120.84.96.109:808/hls/130/index.m3u8
江苏卫视,http://120.84.96.103:808/hls/130/index.m3u8
江苏卫视,http://120.84.96.121:808/hls/130/index.m3u8
湖北卫视,http://120.84.96.121:808/hls/128/index.m3u8
湖北卫视,http://120.84.96.103:808/hls/128/index.m3u8
湖北卫视,http://120.84.96.109:808/hls/128/index.m3u8
山东卫视,http://120.84.96.109:808/hls/132/index.m3u8
山东卫视,http://120.84.96.103:808/hls/132/index.m3u8
山东卫视,http://120.84.96.121:808/hls/132/index.m3u8
安徽卫视,http://120.84.96.121:808/hls/131/index.m3u8
安徽卫视,http://120.84.96.103:808/hls/131/index.m3u8
安徽卫视,http://120.84.96.109:808/hls/131/index.m3u8
辽宁卫视,http://120.84.96.109:808/hls/133/index.m3u8
辽宁卫视,http://120.84.96.103:808/hls/133/index.m3u8
辽宁卫视,http://120.84.96.121:808/hls/133/index.m3u8
河北卫视,http://120.84.96.121:808/hls/135/index.m3u8
河北卫视,http://120.84.96.103:808/hls/135/index.m3u8
河北卫视,http://120.84.96.109:808/hls/135/index.m3u8
吉林卫视,http://120.84.96.109:808/hls/136/index.m3u8
吉林卫视,http://120.84.96.103:808/hls/136/index.m3u8
吉林卫视,http://120.84.96.121:808/hls/136/index.m3u8
龙,http://120.84.96.121:808/hls/139/index.m3u8
龙,http://120.84.96.103:808/hls/139/index.m3u8
龙,http://120.84.96.109:808/hls/139/index.m3u8
东南卫视,http://120.84.96.109:808/hls/141/index.m3u8
东南卫视,http://120.84.96.103:808/hls/141/index.m3u8
东南卫视,http://120.84.96.121:808/hls/141/index.m3u8
天津,http://120.84.96.121:808/hls/149/index.m3u8
天津,http://120.84.96.103:808/hls/149/index.m3u8
天津,http://120.84.96.109:808/hls/149/index.m3u8
江西卫视,http://120.84.96.109:808/hls/152/index.m3u8
江西卫视,http://120.84.96.103:808/hls/152/index.m3u8
江西卫视,http://120.84.96.121:808/hls/152/index.m3u8
北京卫视,http://120.84.96.121:808/hls/153/index.m3u8
北京卫视,http://120.84.96.103:808/hls/153/index.m3u8
北京卫视,http://120.84.96.109:808/hls/153/index.m3u8
重庆卫视,http://120.84.96.109:808/hls/163/index.m3u8
重庆卫视,http://120.84.96.103:808/hls/163/index.m3u8
重庆卫视,http://120.84.96.121:808/hls/163/index.m3u8
四川卫视,http://120.84.96.121:808/hls/165/index.m3u8
四川卫视,http://120.84.96.103:808/hls/165/index.m3u8
四川卫视,http://120.84.96.109:808/hls/165/index.m3u8
佳卡通,http://120.84.96.109:808/hls/171/index.m3u8
佳卡通,http://120.84.96.103:808/hls/171/index.m3u8
佳卡通,http://120.84.96.121:808/hls/171/index.m3u8
